Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Total Deaths per 100rb,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,Island_encoded,Cluster
4/19/2020,ID-YO,Daerah Istimewa Yogyakarta,1,0,1,0,66,7,30,29,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.28,18.18,0.0,1.93,0.19,10.61%,45.45%,0.33,1.0,0,1
4/19/2020,ID-PA,Papua,12,0,0,12,107,7,16,84,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,2.76,24.65,0.0,1.61,0.16,6.54%,14.95%,2.0,1.0,1,1
4/20/2020,ID-YO,Daerah Istimewa Yogyakarta,2,0,0,2,68,7,30,31,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.55,18.73,0.0,1.93,0.19,10.29%,44.12%,2.0,1.0,0,1
4/20/2020,ID-PA,Papua,0,0,14,-14,107,7,30,70,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,0.0,24.65,0.0,1.61,0.16,6.54%,28.04%,0.0,1.0,1,1
4/20/2020,ID-PB,Papua Barat,0,0,0,0,7,1,1,5,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,6.14,0.0,0.88,0.09,14.29%,14.29%,0.0,1.0,1,1
4/21/2020,ID-YO,Daerah Istimewa Yogyakarta,3,0,3,0,71,7,33,31,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.83,19.55,0.0,1.93,0.19,9.86%,46.48%,1.5,1.0,0,1
4/21/2020,ID-PB,Papua Barat,0,0,0,0,7,1,1,5,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,0.0,6.14,0.0,0.88,0.09,14.29%,14.29%,1.0,1.0,1,1
4/22/2020,ID-YO,Daerah Istimewa Yogyakarta,3,0,5,-2,74,7,38,29,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.83,20.38,0.0,1.93,0.19,9.46%,51.35%,1.0,1.0,0,1
4/22/2020,ID-PA,Papua,5,0,0,5,123,7,34,82,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,1.15,28.34,0.0,1.61,0.16,5.69%,27.64%,0.45,1.0,1,1
4/23/2020,ID-YO,Daerah Istimewa Yogyakarta,1,0,1,0,75,7,39,29,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.28,20.66,0.0,1.93,0.19,9.33%,52.00%,0.33,1.0,0,1
4/23/2020,ID-PA,Papua,7,0,0,7,130,7,34,89,Province,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1.0,560,110.0,5411.0,319036,4340348,13.6,138.69603,-4.66620953,1.61,29.95,0.0,1.61,0.16,5.38%,26.15%,1.4,1.0,1,1
4/23/2020,ID-PB,Papua Barat,5,0,0,5,13,1,1,11,Province,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1.0,218,95.0,1742.0,102955,1140701,11.08,132.9762624,-2.045160182,4.38,11.4,0.0,0.88,0.09,7.69%,7.69%,5.0,1.0,1,1
4/24/2020,ID-YO,Daerah Istimewa Yogyakarta,1,0,0,1,76,7,39,30,Province,Daerah Istimewa Yogyakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Istimewa,4,1.0,78,46.0,392.0,3133,3631015,1158.9,110.4448783,-7.89450185,0.28,20.93,0.0,1.93,0.19,9.21%,51.32%,1.0,1.0,0,1
